Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.87161042, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.00, 0.01
Ag, -287.15355049, Ag_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 19.00, SG15, 0.03, 0.03
Al, -39.22903494, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.01, 0.01
Am, -1139.41553074, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 0.98, 3.04
Ar, -42.22353145, Ar_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 8.00, SG15-1.1, -0.00, 0.00
As, -17.86234841, As.pbe-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, 0.01, 0.01
At, -220.34122598, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.00, 0.01
Au, -274.44918488, Au_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 19.00, SG15, 0.03, 0.03
Ba, -436.18045191, Ba.pbe-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, 0.00, 0.00
Be, -27.98752122, be_pbe_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, -0.00, 0.00
Bi, -184.98165325, Bi_pbe_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.00, 0.01
Bk, -1226.73716698, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.01, 2.17
Br, -46.73102983, br_pbe_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, 0.00, 0.00
B, -5.90615505, b_pbe_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, -0.00, 0.01
C, -17.77781387, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, 0.00, 0.00
Ca, -74.86965580, Ca_pbe_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -122.21247095, Cd.pbe-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, -0.00, 0.00
Ce, -481.81703135, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.41, 1.59
Cf, -1274.74895858, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.03, 2.09
Cl, -33.16431134, cl_pbe_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, -0.00, 0.00
Cm, -1181.63033202, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.01, 2.41
Co, -298.12984924, Co_pbe_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 3.00, 3.00
Cr, -175.02190344, cr_pbe_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 1.99, 2.79
Cs, -63.09002301, Cs_pbe_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 0.01, 0.01
Cu, -212.83347397, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.01, 0.02
Dy, -777.02803457, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, 0.01, 1.02
Er, -885.78093754, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -0.00, 0.60
Es, -1325.80440877, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -0.05, 1.55
Eu, -642.09898434, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 0.02, 0.78
Fe, -328.80668579, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -0.49, 2.15
Fm, -1380.04466791, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 0.01, 1.07
Fr, -1071.67782045, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
F, -48.33354604, f_pbe_v1.4.uspp.F.UPF, 45, 360, 7.00, GBRV-1.4, -0.00, 0.00
Ga, -277.71082353, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 70, 560, 13.00, 100PAW, -0.02, 0.03
Gd, -683.53776817, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, -0.01, 0.77
Ge, -213.31965720, ge_pbe_v1.4.uspp.F.UPF, 40, 320, 14.00, GBRV-1.4, -0.00, 0.02
H, -0.92493396, H.pbe-rrkjus_psl.1.0.0.UPF, 60, 480, 1.00, 100US, 0.00, 0.00
He, -5.57586948, He_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 2.00, SG15, 0.00, 0.00
Hf, -112.37440222, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, -0.00, 0.01
Hg, -310.13926750, Hg_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 20.00, SG15, -0.00, 0.00
Ho, -829.52484948, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, -2.94, 2.98
I, -378.79947818, I.pbe-n-kjpaw_psl.0.2.UPF, 35, 280, 7.00, 031PAW, -0.00, 0.00
In, -144.65156784, In.pbe-dn-rrkjus_psl.0.2.2.UPF, 50, 400, 13.00, 031US, 0.02, 0.02
Ir, -181.21777286, Ir_pbe_v1.2.uspp.F.UPF, 55, 440, 15.00, GBRV-1.2, 0.21, 2.12
K, -113.01121215, K.pbe-spn-kjpaw_psl.1.0.0.UPF, 60, 480, 9.00, 100PAW, -0.00, 0.00
Kr, -37.17781781, Kr_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 8.00, SG15, -0.00, 0.00
La, -458.03985783, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, -0.31, 1.84
Li, -14.37978053, li_pbe_v1.4.uspp.F.UPF, 40, 320, 3.00, GBRV-1.4, -0.05, 0.05
Lr, -1562.27661746, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, 0.00, 0.02
Lu, -1079.92246942, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, 0.01, 0.02
Md, -1437.58697873, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, 1.05, 1.06
Mg, -33.54073067, Mg.pbe-n-kjpaw_psl.0.3.0.UPF, 30, 240, 2.00, 031PAW, 0.00, 0.00
Mn, -210.72569935, mn_pbe_v1.5.uspp.F.UPF, 65, 780, 15.00, GBRV-1.5, -0.09, 2.23
Mo, -136.54743434, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35, 140, 14.00, SG15, -0.02, 3.37
N, -19.59177583, N.pbe-n-radius_5.UPF, 60, 480, 5.00, THEOS, 0.00, 0.00
Na, -95.30300819, na_pbe_v1.5.uspp.F.UPF, 40, 320, 9.00, GBRV-1.5, 0.00, 0.00
Nb, -333.72072208, Nb.pbe-spn-kjpaw_psl.0.3.0.UPF, 40, 320, 13.00, 031PAW, 1.13, 2.81
Nd, -537.16638228, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, 0.43, 1.56
Ne, -60.81404627, Ne_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 8.00, SG15, -0.00, 0.00
Ni, -342.92131111, ni_pbe_v1.4.uspp.F.UPF, 45, 360, 18.00, GBRV-1.4, -0.46, 1.63
No, -1498.52453505, No.paw.z_24.ld1.uni-marburg.v0.upf, 60, 480, 24.00, MalteSachs, 0.00, 0.00
Np, -1062.70116538, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60, 480, 15.00, MalteSachs, 0.29, 2.53
O, -41.17005288, O.pbe-n-kjpaw_psl.0.1.UPF, 50, 400, 6.00, 031PAW, -0.00, 0.00
Os, -197.90628798, Os_pbe_v1.2.uspp.F.UPF, 40, 320, 16.00, GBRV-1.2, 0.00, 2.77
P, -13.66015806, P.pbe-n-rrkjus_psl.1.0.0.UPF, 30, 240, 5.00, 100US, 0.00, 0.00
Pa, -995.82584011, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60, 480, 13.00, MalteSachs, -0.97, 2.75
Pb, -870.28348512, Pb.pbe-dn-kjpaw_psl.0.2.2.UPF, 40, 320, 14.00, 031PAW, 0.00, 0.02
Pd, -252.93001156, Pd_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 18.00, SG15, -0.00, 0.01
Pm, -569.05329957, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40, 320, 15.00, Wentzcovitch, 0.06, 1.22
Po, -195.35720297, Po.pbe-dn-rrkjus_psl.1.0.0.UPF, 75, 600, 16.00, 100US, -0.00, 0.00
Pr, -508.20616986, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, -3.01, 3.04
Pt, -210.29270009, pt_pbe_v1.4.uspp.F.UPF, 35, 280, 16.00, GBRV-1.4, 1.41, 1.69
Pu, -1099.95599033, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, -6.00, 6.24
Ra, -1118.48203949, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90, 720, 20.00, 100PAW, 0.00, 0.00
Rb, -48.93766545, Rb_ONCV_PBE-1.0.oncvpsp.upf, 30, 120, 9.00, SG15, -0.02, 0.02
