Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64268371, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -0.00, 0.01
Ag, -286.99929337, Ag_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, -0.00, 0.00
Al, -38.21866330, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.00, 0.00
Am, -1124.95561836, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -0.00, 2.54
Ar, -42.16680134, Ar_ONCV_PBEsol-1.1.upf, 60, 240, 8.00, SG15-1.1, 0.00, 0.00
As, -17.79738576, As.pbesol-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, -0.00, 0.00
At, -220.01311022, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.00, 0.00
Au, -274.46429046, Au_ONCV_PBEsol-1.0.upf, 45, 180, 19.00, SG15, 0.00, 0.00
Ba, -429.66837157, Ba.pbesol-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, -0.00, 2.19
Be, -27.82208049, be_pbesol_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, -0.00, 0.00
Bi, -184.66412496, bi_pbesol_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.01, 0.02
Bk, -1211.65621451, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, -0.00, 0.00
B, -5.84412056, b_pbesol_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, 0.00, 0.00
Br, -40.38260010, br_pbesol_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, 0.00, 0.00
Ca, -74.77659499, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -121.55050345, Cd.pbesol-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, 0.00, 0.00
Ce, -475.05067397, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.45, 1.53
Cf, -1259.43156099, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.34, 2.02
Cl, -33.06666922, cl_pbesol_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, 0.00, 0.00
Cm, -4342.97685072, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.00, 9.61
Co, -297.78328372, co_pbesol_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 1.01, 1.97
C, -17.42039543, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, 0.00, 0.00
Cr, -174.83288325, cr_pbesol_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, -0.00, 2.91
Cs, -62.91551421, cs_pbesol_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 0.00, 0.00
Cu, -210.12059153, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -0.00, 0.01
Dy, -768.99961624, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.41, 1.06
Er, -877.43747179, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -0.00, 0.50
Es, -1310.18287158, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 0.02, 1.54
Eu, -634.53899821, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 0.00, 0.78
Fe, -326.38441462, Fe.pbesol-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -0.37, 2.07
Fm, -1364.13246010, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, -1.99, 1.99
F, -48.22176202, f_pbesol_v1.4.uspp.F.UPF, 45, 360, 7.00, GBRV-1.4, -0.00, 0.00
Fr, -1059.38314184, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
Ga, -274.76857275, Ga.pbesol-dn-kjpaw_psl.1.0.0.UPF, 70, 560, 13.00, 100PAW, -0.02, 0.04
Gd, -675.80838449, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, -0.25, 0.88
Ge, -212.83034832, ge_pbesol_v1.4.uspp.F.UPF, 40, 320, 14.00, GBRV-1.4, -0.01, 0.01
He, -5.51625661, He_ONCV_PBEsol-1.0.upf, 50, 200, 2.00, SG15, -0.00, 0.00
Hf, -112.26482836, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, -0.00, 0.01
Hg, -310.14418141, Hg_ONCV_PBEsol-1.0.upf, 50, 200, 20.00, SG15, 0.00, 0.00
Ho, -821.23351827, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, 0.02, 0.77
H, -0.90696895, H.pbesol-rrkjus_psl.1.0.0.UPF, 60, 480, 1.00, 100US, -0.00, 0.00
In, -144.18676062, In.pbesol-dn-rrkjus_psl.0.2.2.UPF, 50, 400, 13.00, 031US, -0.00, 0.00
I, -372.79511704, I.pbesol-n-kjpaw_psl.0.2.UPF, 35, 280, 7.00, 031PAW, 0.01, 0.01
Ir, -181.02547966, ir_pbesol_v1.2.uspp.F.UPF, 55, 440, 15.00, GBRV-1.2, -0.00, 2.02
K, -111.37272670, K.pbesol-spn-kjpaw_psl.1.0.0.UPF, 60, 480, 9.00, 100PAW, -0.00, 0.00
Kr, -37.18131534, Kr_ONCV_PBEsol-1.0.upf, 45, 180, 8.00, SG15, -0.00, 0.00
La, -451.42564992, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, -1.00, 1.70
Li, -14.27593829, li_pbesol_v1.4.uspp.F.UPF, 40, 320, 3.00, GBRV-1.4, 0.04, 0.04
Lr, -1545.30314725, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, -0.00, 0.01
Lu, -1071.07702915, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, 0.01, 0.02
Md, -1421.31343633, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, 0.00, 0.00
Mg, -32.62819454, Mg.pbesol-n-kjpaw_psl.0.3.0.UPF, 30, 240, 2.00, 031PAW, -0.00, 0.00
Mn, -210.52342906, mn_pbesol_v1.5.uspp.F.UPF, 65, 780, 15.00, GBRV-1.5, -0.03, 2.24
Mo, -136.47604702, Mo_ONCV_PBEsol-1.0.upf, 35, 140, 14.00, SG15, -0.00, 3.35
Na, -95.11857146, na_pbesol_v1.5.uspp.F.UPF, 40, 320, 9.00, GBRV-1.5, 0.00, 0.00
Nb, -329.50756936, Nb.pbesol-spn-kjpaw_psl.0.3.0.UPF, 40, 320, 13.00, 031PAW, 5.00, 5.00
Nd, -530.08135114, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, -0.16, 1.35
Ne, -60.70308476, Ne_ONCV_PBEsol-1.0.upf, 50, 200, 8.00, SG15, -0.00, 0.00
Ni, -342.67603264, ni_pbesol_v1.4.uspp.F.UPF, 45, 360, 18.00, GBRV-1.4, 0.19, 0.99
No, -1481.90631901, No.paw.z_24.ld1.uni-marburg.v0.upf, 60, 480, 24.00, MalteSachs, 0.00, 0.00
N, -19.52363958, N.pbesol-theos.UPF, 60, 480, 5.00, THEOS, -0.00, 0.00
Np, -1048.83697792, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60, 480, 15.00, MalteSachs, -0.10, 2.24
O, -40.64901764, O.pbesol-n-kjpaw_psl.0.1.UPF, 50, 400, 6.00, 031PAW, 0.00, 0.00
Os, -197.81983050, os_pbesol_v1.2.uspp.F.UPF, 40, 320, 16.00, GBRV-1.2, 0.00, 2.70
Pa, -982.50598180, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60, 480, 13.00, MalteSachs, 0.74, 2.56
Pb, -859.13124534, Pb.pbesol-dn-kjpaw_psl.0.2.2.UPF, 40, 320, 14.00, 031PAW, -0.01, 0.01
Pd, -252.79716918, Pd_ONCV_PBEsol-1.0.upf, 45, 180, 18.00, SG15, -0.00, 0.00
Pm, -561.81370216, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40, 320, 15.00, Wentzcovitch, 0.11, 1.15
Po, -195.00408254, Po.pbesol-dn-rrkjus_psl.1.0.0.UPF, 75, 600, 16.00, 100US, 0.00, 0.00
P, -13.62883657, P.pbesol-n-rrkjus_psl.1.0.0.UPF, 30, 240, 5.00, 100US, 0.00, 0.00
Pr, -501.27966600, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, -3.00, 3.03
Pt, -210.08696283, pt_pbesol_v1.4.uspp.F.UPF, 35, 280, 16.00, GBRV-1.4, 0.98, 1.52
Pu, -1085.62031441, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, 0.08, 2.51
Ra, -1105.94462349, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90, 720, 20.00, 100PAW, -0.00, 0.00
Rb, -48.92158534, Rb_ONCV_PBEsol-1.0.upf, 30, 120, 9.00, SG15, -0.00, 0.00
Re, -189.51078870, re_pbesol_v1.2.uspp.F.UPF, 30, 240, 15.00, GBRV-1.2, 0.00, 0.00
Rh, -216.37897159, Rh_ONCV_PBEsol-1.0.upf, 35, 140, 17.00, SG15, -0.00, 0.01
Rn, -1015.02177495, Rn.pbesol-dn-kjpaw_psl.1.0.0.UPF, 120, 960, 18.00, 100PAW, 0.00, 0.00
Ru, -187.90124583, Ru_ONCV_PBEsol-1.0.upf, 35, 140, 16.00, SG15, 0.00, 2.47
Sb, -184.26552768, sb_pbesol_v1.4.uspp.F.UPF, 40, 320, 15.00, GBRV-1.4, -0.01, 0.01
Sc, -91.51743179, Sc_ONCV_PBEsol-1.0.upf, 40, 160, 11.00, SG15, 0.00, 0.01
Se, -43.02908062, se_pbesol_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.00
Si, -10.92031831, Si.pbesol-n-rrkjus_psl.1.0.0.UPF, 30, 240, 4.00, 100US, -0.01, 0.01
Sm, -596.58756691, Sm.paw.z_16.atompaw.wentzcovitch.v1.2.upf, 40, 320, 16.00, Wentzcovitch, -0.08, 0.95
Sn, -158.60536715, sn_pbesol_v1.4.uspp.F.UPF, 60, 480, 14.00, GBRV-1.2, -0.01, 0.01
S, -23.70118781, s_pbesol_v1.4.uspp.F.UPF, 35, 280, 6.00, GBRV-1.4, 0.00, 0.00
Sr, -70.03534205, sr_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
Ta, -141.04969297, ta_pbesol_v1.uspp.F.UPF, 45, 360, 13.00, GBRV-1.2, 0.00, 0.01
Tb, -720.56818558, Tb.paw.z_19.atompaw.wentzcovitch.v1.2.upf, 40, 320, 19.00, Wentzcovitch, 0.03, 0.76
Tc, -160.57246431, Tc_ONCV_PBEsol-1.0.upf, 30, 120, 15.00, SG15, 1.00, 2.91
Te, -26.17732820, te_pbesol_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.00
Th, -952.76211571, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 0.21, 1.67
Ti, -118.72709232, ti_pbesol_v1.4.uspp.F.UPF, 35, 280, 12.00, GBRV-1.4, 0.01, 1.94
