Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64194826, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -0.00, 0.01
Ag, -286.99929343, Ag_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, -0.00, 0.00
Am, -1124.97562995, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 0.90, 2.88
Ar, -42.16680132, Ar_ONCV_PBEsol-1.1.upf, 60, 240, 8.00, SG15-1.1, 0.00, 0.00
At, -220.01116454, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.00, 0.00
Au, -274.46429016, Au_ONCV_PBEsol-1.0.upf, 45, 180, 19.00, SG15, -0.00, 0.00
Bk, -1211.72211532, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.11, 2.14
Ce, -475.07030840, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -2.03, 2.40
Cf, -1259.43008515, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -0.09, 2.11
Cm, -4342.98482584, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 0.00
Cu, -210.11487605, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.01, 0.02
Dy, -768.99901916, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.00, 1.06
Er, -877.48261867, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -1.99, 2.03
Es, -1310.17760292, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 0.10, 1.61
Eu, -634.56339824, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, -0.92, 1.48
Fm, -1364.13306303, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 2.06, 2.06
Fr, -1059.38314184, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
Gd, -675.81070868, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, -0.30, 0.89
He, -5.51625661, He_ONCV_PBEsol-1.0.upf, 50, 200, 2.00, SG15, 0.00, 0.00
Hf, -112.26221126, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, -0.00, 0.02
Hg, -310.14418143, Hg_ONCV_PBEsol-1.0.upf, 50, 200, 20.00, SG15, 0.00, 0.00
Ho, -821.23125850, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, 0.00, 0.80
Kr, -37.18131532, Kr_ONCV_PBEsol-1.0.upf, 45, 180, 8.00, SG15, -0.00, 0.00
La, -451.42258407, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, -1.16, 1.82
Lr, -1545.30240531, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, -0.02, 0.02
Lu, -1071.07609525, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, 0.01, 0.03
Md, -1421.30667199, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, -0.22, 0.67
Mo, -136.35487259, Mo_ONCV_PBEsol-1.0.upf, 35, 140, 14.00, SG15, 0.01, 0.01
Nd, -530.08020272, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, 0.20, 1.57
Ne, -60.70308474, Ne_ONCV_PBEsol-1.0.upf, 50, 200, 8.00, SG15, -0.00, 0.00
No, -1481.90631895, No.paw.z_24.ld1.uni-marburg.v0.upf, 60, 480, 24.00, MalteSachs, 0.00, 0.00
Np, -1048.83650599, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60, 480, 15.00, MalteSachs, 0.07, 2.54
Pa, -982.50195792, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60, 480, 13.00, MalteSachs, 0.82, 2.60
Pd, -252.79015239, Pd_ONCV_PBEsol-1.0.upf, 45, 180, 18.00, SG15, -0.00, 0.01
Pm, -561.80899839, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40, 320, 15.00, Wentzcovitch, -0.26, 1.31
Pr, -501.27716762, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, -3.01, 3.04
Pu, -1085.61572625, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, 0.11, 2.55
Ra, -1105.94462345, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90, 720, 20.00, 100PAW, 0.00, 0.00
Rb, -48.92158533, Rb_ONCV_PBEsol-1.0.upf, 30, 120, 9.00, SG15, -0.01, 0.01
Rh, -216.37382914, Rh_ONCV_PBEsol-1.0.upf, 35, 140, 17.00, SG15, 0.01, 0.02
