################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.3695181553346507E-02 a         1     0     1     1     1
 -2.4915406848914376E-01 a         2     0     1     1     2
 -2.3472737495333534E-01 a         3     0     1     1     3
  2.9042381112011097E-02 a         4     0     1     1     4
 -3.7046764390306836E-01 a         5     0     1     1     5
 -4.5012981475037725E-02 a         6     0     1     1     6
  1.7549455474441797E-01 a         7     0     1     1     7
  2.0424349478162514E-02 a         8     0     1     1     8
 -1.0943270741367864E-02 a         9     0     1     1     9
  2.8456723495154986E-02 a        10     0     1     1    10
 -3.0864954092911793E-02 a        11     0     1     1    11
  4.3786398297800865E-02 a        12     0     1     1    12
 -6.6756601839991853E-02 a        13     0     1     1    13
  5.6822940903063127E-02 a        14     0     1     1    14
  3.0824659766495845E-03 a        15     0     1     1    15
  2.3827425590845747E-01 a        16     0     1     1    16
  7.2428943742590554E-02 a        17     0     1     1    17
 -2.2472089873238740E-01 a        18     0     1     1    18
 -3.1904827444465059E-02 a        19     0     1     1    19
  3.4441993849774720E-02 a        20     0     1     1    20
  1.3686504524154852E-01 a        21     0     2     1     1
 -3.8217889552856527E-01 a        22     0     2     1     2
  2.4163412284720975E-02 a        23     0     2     1     3
  3.6833162130019143E-01 a        24     0     2     1     4
  1.1182942810459026E-01 a        25     0     2     1     5
 -3.2100736515726902E-01 a        26     0     2     1     6
  4.6355464069102126E-02 a        27     0     2     1     7
  3.9335063059875780E-01 a        28     0     2     1     8
  3.7632259915541956E-02 a        29     0     2     1     9
 -1.0409310787031789E-01 a        30     0     2     1    10
 -3.3129524849973213E-01 a        31     0     2     1    11
  1.6620742698892896E-01 a        32     0     2     1    12
 -1.3771252708291989E-01 a        33     0     2     1    13
 -1.4168862539784802E-01 a        34     0     2     1    14
  2.6010569017195079E-01 a        35     0     2     1    15
  8.4308438740314406E-02 a        36     0     2     1    16
 -1.2969517249330978E-01 a        37     0     2     1    17
  3.6558707935159768E-01 a        38     0     2     1    18
  4.6594277893456082E-01 a        39     0     2     1    19
 -3.3510987015094523E-01 a        40     0     2     1    20
 -6.3002189730926861E-02 a        41     0     3     1     1
 -1.1786457939154031E+00 a        42     0     3     1     2
  9.2974476999421451E-01 a        43     0     3     1     3
  1.0886270750197018E+00 a        44     0     3     1     4
  1.3192573856104421E+00 a        45     0     3     1     5
 -3.0413511870966531E-01 a        46     0     3     1     6
 -7.8204772673336298E-01 a        47     0     3     1     7
  6.2154356918991527E-01 a        48     0     3     1     8
  7.1876402765586944E-01 a        49     0     3     1     9
  1.7507966168584665E-01 a        50     0     3     1    10
  4.3800573530087389E-01 a        51     0     3     1    11
  3.1406393189531157E-01 a        52     0     3     1    12
  5.6982731777006979E-01 a        53     0     3     1    13
  7.9812917903008296E-01 a        54     0     3     1    14
 -5.0273424700493752E-01 a        55     0     3     1    15
 -5.0556542792659920E-01 a        56     0     3     1    16
 -9.1245299349772624E-01 a        57     0     3     1    17
  2.7769224476743108E+00 a        58     0     3     1    18
 -3.7524623300042975E-01 a        59     0     3     1    19
 -4.1590782475136051E-01 a        60     0     3     1    20
  1.3682258004912981E-01 a        61     0     4     1     1
 -3.8012777821400917E-01 a        62     0     4     1     2
 -4.5912785810144496E-01 a        63     0     4     1     3
  2.6930190551838101E-01 a        64     0     4     1     4
 -2.9064215805636212E-01 a        65     0     4     1     5
 -3.5482892175105307E-01 a        66     0     4     1     6
  3.0036197328194442E-01 a        67     0     4     1     7
  1.8162648050136748E-01 a        68     0     4     1     8
 -8.0249843489926281E-02 a        69     0     4     1     9
 -2.2633920826553769E-01 a        70     0     4     1    10
 -3.8836401776599205E-01 a        71     0     4     1    11
  8.6855681576750873E-02 a        72     0     4     1    12
 -1.4836612902045967E-01 a        73     0     4     1    13
  1.6483251348117418E-02 a        74     0     4     1    14
  2.3697994837695913E-01 a        75     0     4     1    15
  2.7476858783776392E-01 a        76     0     4     1    16
  2.9369744780810555E-02 a        77     0     4     1    17
 -1.3618152046027628E-02 a        78     0     4     1    18
  2.0335546532315663E-01 a        79     0     4     1    19
 -3.1563751077045710E-01 a        80     0     4     1    20
  9.2625856696617756E-02 a        81     0     5     1     1
 -2.3377766485336340E-01 a        82     0     5     1     2
  5.7319607959484382E-02 a        83     0     5     1     3
  2.0056152643648045E-01 a        84     0     5     1     4
  2.6814384118885670E-01 a        85     0     5     1     5
 -2.9364246147360767E-01 a        86     0     5     1     6
 -4.6695197653561012E-02 a        87     0     5     1     7
  3.0153990918035684E-01 a        88     0     5     1     8
 -8.2598028315622220E-03 a        89     0     5     1     9
 -3.1791698957381886E-01 a        90     0     5     1    10
 -3.2242203413306580E-01 a        91     0     5     1    11
  1.9104076244069379E-01 a        92     0     5     1    12
 -8.7610646730930233E-02 a        93     0     5     1    13
  4.2834561623487893E-02 a        94     0     5     1    14
  3.3493293165192090E-01 a        95     0     5     1    15
 -1.6707608717556396E-01 a        96     0     5     1    16
 -7.9224890095595288E-02 a        97     0     5     1    17
  4.0267442110619517E-01 a        98     0     5     1    18
  4.1178079406861839E-01 a        99     0     5     1    19
 -5.0870919962822791E-01 a       100     0     5     1    20
  1.3644332549975444E-02 a       101     0     6     1     1
  1.8197718402935206E-01 a       102     0     6     1     2
 -7.0869047828758103E-01 a       103     0     6     1     3
 -7.3017247420583131E-01 a       104     0     6     1     4
 -1.3799210030136000E+00 a       105     0     6     1     5
  2.4221262337255453E-01 a       106     0     6     1     6
  1.1152212221526352E+00 a       107     0     6     1     7
 -4.2894773505905659E-01 a       108     0     6     1     8
 -5.1804905986060068E-01 a       109     0     6     1     9
 -1.2823736044731773E-01 a       110     0     6     1    10
  2.3952270058835196E-01 a       111     0     6     1    11
  9.2759911680677279E-02 a       112     0     6     1    12
 -3.6070312904559432E-01 a       113     0     6     1    13
 -2.8845838153899728E-01 a       114     0     6     1    14
  3.9894798359168905E-02 a       115     0     6     1    15
  4.0754821267989622E-01 a       116     0     6     1    16
  6.9081028208048778E-01 a       117     0     6     1    17
 -1.8991883760474355E+00 a       118     0     6     1    18
  1.6429695286852117E-01 a       119     0     6     1    19
  4.0949828723930815E-01 a       120     0     6     1    20
  3.0368084821969199E-01 a       121     0     7     1     1
 -7.7180252304916458E-02 a       122     0     7     1     2
 -2.8088485782750561E-01 a       123     0     7     1     3
  5.9291419438533188E-01 a       124     0     7     1     4
 -5.8899091433297179E-01 a       125     0     7     1     5
 -2.3757053800655642E-01 a       126     0     7     1     6
  3.5503165117953867E-01 a       127     0     7     1     7
  1.5520330308688664E-02 a       128     0     7     1     8
 -2.3432512490551280E-01 a       129     0     7     1     9
  2.4010717581945665E-01 a       130     0     7     1    10
  2.5645014229579453E-02 a       131     0     7     1    11
  1.3226036345869313E-01 a       132     0     7     1    12
  2.6199486661005605E-01 a       133     0     7     1    13
  5.9582110165814557E-02 a       134     0     7     1    14
 -3.2943812845986847E-01 a       135     0     7     1    15
  2.0484990755903423E-01 a       136     0     7     1    16
  2.6590058893915716E-03 a       137     0     7     1    17
  9.6019359038938656E-02 a       138     0     7     1    18
 -3.5572229438635028E-02 a       139     0     7     1    19
 -8.6611691660392592E-02 a       140     0     7     1    20
  3.5551540065990656E-01 a       141     0     8     1     1
 -1.3967366226949623E-01 a       142     0     8     1     2
 -6.6241760392322802E-01 a       143     0     8     1     3
  5.3891947309656940E-01 a       144     0     8     1     4
 -7.3555194791544198E-01 a       145     0     8     1     5
 -4.2090776901463078E-01 a       146     0     8     1     6
  6.2379601192132472E-01 a       147     0     8     1     7
 -1.6900249307541149E-01 a       148     0     8     1     8
 -2.8652025943661352E-01 a       149     0     8     1     9
  8.4741436831984693E-02 a       150     0     8     1    10
  4.9815922306572349E-02 a       151     0     8     1    11
 -2.2229228957160750E-02 a       152     0     8     1    12
  6.1205042715989422E-02 a       153     0     8     1    13
 -1.7833327279008038E-01 a       154     0     8     1    14
 -2.4144384877662503E-01 a       155     0     8     1    15
  4.3645037451177382E-01 a       156     0     8     1    16
 -8.8061059124111482E-02 a       157     0     8     1    17
  1.4356669650602594E-01 a       158     0     8     1    18
 -3.8426483535779954E-01 a       159     0     8     1    19
 -8.0192072257235708E-02 a       160     0     8     1    20
  3.4431776940313297E-01 a       161     0     9     1     1
 -3.1779705092971533E-01 a       162     0     9     1     2
 -9.2198915263067249E-01 a       163     0     9     1     3
  5.6439097250819292E-01 a       164     0     9     1     4
 -5.8928844432221072E-01 a       165     0     9     1     5
 -4.9147998491384970E-01 a       166     0     9     1     6
  6.7231335531693992E-01 a       167     0     9     1     7
  1.8148839987060073E-02 a       168     0     9     1     8
 -2.6987755390325863E-01 a       169     0     9     1     9
 -4.7265045532867547E-02 a       170     0     9     1    10
 -3.2807957630715312E-01 a       171     0     9     1    11
 -1.1703170177570334E-01 a       172     0     9     1    12
 -1.2523405547675442E-01 a       173     0     9     1    13
 -2.8294470682620193E-01 a       174     0     9     1    14
  1.1876537609040128E-01 a       175     0     9     1    15
  5.5089854980291986E-01 a       176     0     9     1    16
 -1.4010804753168260E-01 a       177     0     9     1    17
 -8.1150777460619068E-03 a       178     0     9     1    18
  5.4990090384962276E-02 a       179     0     9     1    19
 -2.1245517079646081E-01 a       180     0     9     1    20
  1.8520283636909068E-01 a       181     0    10     1     1
 -6.7698473874137199E-01 a       182     0    10     1     2
 -2.8772683943161120E-01 a       183     0    10     1     3
  2.8961698949985315E-01 a       184     0    10     1     4
  4.5891264824277231E-02 a       185     0    10     1     5
 -4.5343384068965292E-01 a       186     0    10     1     6
  3.0412079506855760E-01 a       187     0    10     1     7
  4.6744607159191492E-01 a       188     0    10     1     8
 -1.5387824155656457E-01 a       189     0    10     1     9
 -3.9719777795999200E-01 a       190     0    10     1    10
 -1.0946990423343772E-01 a       191     0    10     1    11
  1.9966356917361286E-01 a       192     0    10     1    12
 -2.7758547217868873E-01 a       193     0    10     1    13
  4.7195553227485011E-02 a       194     0    10     1    14
  3.8601247645083364E-01 a       195     0    10     1    15
  3.8516265237680966E-02 a       196     0    10     1    16
  7.7251811877763074E-02 a       197     0    10     1    17
  2.0740784212866503E-01 a       198     0    10     1    18
  2.4594141193869423E-01 a       199     0    10     1    19
 -1.1623456070751885E-01 a       200     0    10     1    20
 -4.8493135307339021E-04 a       201     0    11     1     1
 -5.9854436258593957E-01 a       202     0    11     1     2
  1.8509693261354906E-01 a       203     0    11     1     3
