# LAMMPS data file written by OVITO Basic 3.8.4

5888 atoms 
1000 bonds
4 atom types 
1 bond types

0.0 39.0999984741 xlo xhi
0.0 39.0999984741 ylo yhi
0.0 39.0999984741 zlo zhi

Masses

1 6.941  # Li
2 15.7994 # O, core  of type 2 
3 35.453  # Cl
4  0.2000 # O, shell of type 2 
 
Atoms  # full

1 1 1  0.0 17.594999 0.000000 0.000000       
2 1 1  0.0 17.594999 0.000000 19.549999       
3 1 1  0.0 17.594999 19.549999 0.000000       
4 1 1  0.0 17.594999 19.549999 19.549999       
5 1 1  0.0 37.144996 0.000000 0.000000       
6 1 1  0.0 37.144996 0.000000 19.549999       
7 1 1  0.0 37.144996 19.549999 0.000000       
8 1 1  0.0 37.144996 19.549999 19.549999       
9 1 1  0.0 0.000000 17.594999 0.000000       
10 1 1  0.0 0.000000 17.594999 19.549999       
11 1 1  0.0 0.000000 37.144996 0.000000       
12 1 1  0.0 0.000000 37.144996 19.549999       
13 1 1  0.0 19.549999 17.594999 0.000000       
14 1 1  0.0 19.549999 17.594999 19.549999       
15 1 1  0.0 19.549999 37.144996 0.000000       
16 1 1  0.0 19.549999 37.144996 19.549999       
17 1 1  0.0 0.000000 0.000000 1.955000       
18 1 1  0.0 0.000000 0.000000 21.505000       
19 1 1  0.0 0.000000 19.549999 1.955000       
20 1 1  0.0 0.000000 19.549999 21.505000       
21 1 1  0.0 19.549999 0.000000 1.955000       
22 1 1  0.0 19.549999 0.000000 21.505000       
23 1 1  0.0 19.549999 19.549999 1.955000       
24 1 1  0.0 19.549999 19.549999 21.505000       
25 1 1  0.0 0.000000 0.000000 17.594999       
26 1 1  0.0 0.000000 0.000000 37.144998       
27 1 1  0.0 0.000000 19.549999 17.594999       
28 1 1  0.0 0.000000 19.549999 37.144998       
29 1 1  0.0 19.549999 0.000000 17.594999       
30 1 1  0.0 19.549999 0.000000 37.144998       
31 1 1  0.0 19.549999 19.549999 17.594999       
32 1 1  0.0 19.549999 19.549999 37.144998       
33 1 1  0.0 1.955000 0.000000 3.910000       
34 1 1  0.0 1.955000 0.000000 23.460000       
35 1 1  0.0 1.955000 19.549999 3.910000       
36 1 1  0.0 1.955000 19.549999 23.460000       
37 1 1  0.0 21.505000 0.000000 3.910000       
38 1 1  0.0 21.505000 0.000000 23.460000       
39 1 1  0.0 21.505000 19.549999 3.910000       
40 1 1  0.0 21.505000 19.549999 23.460000       
41 1 1  0.0 17.594999 0.000000 15.640000       
42 1 1  0.0 17.594999 0.000000 35.189998       
43 1 1  0.0 17.594999 19.549999 15.640000       
44 1 1  0.0 17.594999 19.549999 35.189998       
45 1 1  0.0 37.144996 0.000000 15.640000       
46 1 1  0.0 37.144996 0.000000 35.189998       
47 1 1  0.0 37.144996 19.549999 15.640000       
48 1 1  0.0 37.144996 19.549999 35.189998       
49 1 1  0.0 17.594999 0.000000 3.910000       
50 1 1  0.0 17.594999 0.000000 23.460000       
51 1 1  0.0 17.594999 19.549999 3.910000       
