# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

1 1 0.0 2.127255137 5.384298107 9.979142405
2 1 0.0 0.302742383 5.384298107 19.967283368
3 1 0.0 -1.521770372 5.384298107 29.955424331
4 1 0.0 -3.34628367 5.384298107 39.943568271
5 1 0.0 -5.170796424 5.384298107 49.931709235
6 1 0.0 2.127255137 14.69325023 9.979142405
7 1 0.0 0.302742383 14.69325023 19.967283368
8 1 0.0 -1.521770372 14.69325023 29.955424331
9 1 0.0 -3.34628367 14.69325023 39.943568271
10 1 0.0 -5.170796424 14.69325023 49.931709235
11 1 0.0 2.127255137 24.002203394 9.979142405
12 1 0.0 0.302742383 24.002203394 19.967283368
13 1 0.0 -1.521770372 24.002203394 29.955424331
14 1 0.0 -3.34628367 24.002203394 39.943568271
15 1 0.0 -5.170796424 24.002203394 49.931709235
16 1 0.0 2.127255137 33.311155171 9.979142405
17 1 0.0 0.302742383 33.311155171 19.967283368
18 1 0.0 -1.521770372 33.311155171 29.955424331
19 1 0.0 -3.34628367 33.311155171 39.943568271
20 1 0.0 -5.170796424 33.311155171 49.931709235
21 1 0.0 2.127255137 42.620106947 9.979142405
22 1 0.0 0.302742383 42.620106947 19.967283368
23 1 0.0 -1.521770372 42.620106947 29.955424331
24 1 0.0 -3.34628367 42.620106947 39.943568271
25 1 0.0 -5.170796424 42.620106947 49.931709235
26 1 0.0 7.485200832 5.384298107 9.979142405
27 1 0.0 5.660688078 5.384298107 19.967283368
28 1 0.0 3.836175323 5.384298107 29.955424331
29 1 0.0 2.011662025 5.384298107 39.943568271
30 1 0.0 0.187149271 5.384298107 49.931709235
31 1 0.0 7.485200832 14.69325023 9.979142405
32 1 0.0 5.660688078 14.69325023 19.967283368
33 1 0.0 3.836175323 14.69325023 29.955424331
34 1 0.0 2.011662025 14.69325023 39.943568271
35 1 0.0 0.187149271 14.69325023 49.931709235
36 1 0.0 7.485200832 24.002203394 9.979142405
37 1 0.0 5.660688078 24.002203394 19.967283368
38 1 0.0 3.836175323 24.002203394 29.955424331
39 1 0.0 2.011662025 24.002203394 39.943568271
40 1 0.0 0.187149271 24.002203394 49.931709235
41 1 0.0 7.485200832 33.311155171 9.979142405
42 1 0.0 5.660688078 33.311155171 19.967283368
43 1 0.0 3.836175323 33.311155171 29.955424331
44 1 0.0 2.011662025 33.311155171 39.943568271
45 1 0.0 0.187149271 33.311155171 49.931709235
46 1 0.0 7.485200832 42.620106947 9.979142405
47 1 0.0 5.660688078 42.620106947 19.967283368
48 1 0.0 3.836175323 42.620106947 29.955424331
49 1 0.0 2.011662025 42.620106947 39.943568271
50 1 0.0 0.187149271 42.620106947 49.931709235
51 1 0.0 12.843146527 5.384298107 9.979142405
52 1 0.0 11.018633773 5.384298107 19.967283368
53 1 0.0 9.194121018 5.384298107 29.955424331
54 1 0.0 7.36960772 5.384298107 39.943568271
55 1 0.0 5.545094966 5.384298107 49.931709235
56 1 0.0 12.843146527 14.69325023 9.979142405
57 1 0.0 11.018633773 14.69325023 19.967283368
58 1 0.0 9.194121018 14.69325023 29.955424331
59 1 0.0 7.36960772 14.69325023 39.943568271
60 1 0.0 5.545094966 14.69325023 49.931709235
61 1 0.0 12.843146527 24.002203394 9.979142405
62 1 0.0 11.018633773 24.002203394 19.967283368
63 1 0.0 9.194121018 24.002203394 29.955424331
64 1 0.0 7.36960772 24.002203394 39.943568271
65 1 0.0 5.545094966 24.002203394 49.931709235
66 1 0.0 12.843146527 33.311155171 9.979142405
67 1 0.0 11.018633773 33.311155171 19.967283368
68 1 0.0 9.194121018 33.311155171 29.955424331
69 1 0.0 7.36960772 33.311155171 39.943568271
70 1 0.0 5.545094966 33.311155171 49.931709235
71 1 0.0 12.843146527 42.620106947 9.979142405
72 1 0.0 11.018633773 42.620106947 19.967283368
73 1 0.0 9.194121018 42.620106947 29.955424331
74 1 0.0 7.36960772 42.620106947 39.943568271
75 1 0.0 5.545094966 42.620106947 49.931709235
76 1 0.0 18.201093819 5.384298107 9.979142405
77 1 0.0 16.376581065 5.384298107 19.967283368
78 1 0.0 14.55206831 5.384298107 29.955424331
79 1 0.0 12.727555012 5.384298107 39.943568271
80 1 0.0 10.903042258 5.384298107 49.931709235
81 1 0.0 18.201093819 14.69325023 9.979142405
82 1 0.0 16.376581065 14.69325023 19.967283368
83 1 0.0 14.55206831 14.69325023 29.955424331
84 1 0.0 12.727555012 14.69325023 39.943568271
85 1 0.0 10.903042258 14.69325023 49.931709235
86 1 0.0 18.201093819 24.002203394 9.979142405
87 1 0.0 16.376581065 24.002203394 19.967283368
88 1 0.0 14.55206831 24.002203394 29.955424331
89 1 0.0 12.727555012 24.002203394 39.943568271
