# LAMMPS data file written by OVITO
168 atoms
4 atom types
1.5494194 89.3625488 xlo xhi
-0.5885881 75.2663269 ylo yhi
-80.0 80.0 zlo zhi
-44.0226059 0.0 0.0 xy xz yz

Masses

1  12.000
2  12.000
3   1.000
4   0.010

Atoms

40 1 3 -33.2999992 60.2000008 -41.2999992
41 1 3 55.7000008 57.4000015 -47.7000008
32 1 3 6.4553099 -1.23498 -44.895401
33 1 3 -19.9603004 74.9055024 -49.0931015
20501 1 3 -0.959048 3.5630901 -45.5756989
5 1 3 -6.0378699 12.6021004 -49.7723999
6 1 3 -11.3190003 22.9428998 -43.1595993
7 1 3 -15.4544001 27.980301 -41.1399994
8 1 3 -23.4316998 42.6767006 -47.5247994
9 1 3 -28.0482006 50.527401 -49.6772003
10 1 3 -37.2342987 66.0289993 -42.0979996
21151 1 3 -17.4715004 32.7499008 -45.4547005
21156 1 3 -9.7766705 19.3652992 -44.3344002
21157 1 3 -10.1520996 20.5830002 -42.1652985
21285 1 3 -23.0555 41.5166016 -45.4925995
21935 1 3 -39.0070992 70.7942963 -45.3303986
21940 1 3 -31.8117008 57.5186997 -44.5
21941 1 3 -32.2845001 58.8767014 -42.5064011
21949 1 3 -39.7821999 72.9210968 -46.2872009
21287 1 3 -26.6278 48.8754006 -49.1013985
20503 1 3 -4.7104402 10.9266006 -48.9958
23431 1 3 -38.1777 74.7277985 -46.7229004
22837 1 3 -29.4101009 74.0161972 -48.0276985
40751 1 3 -22.0107994 39.1567001 -45.3609009
14891 1 3 -16.8953992 31.1788998 -43.9117012
14894 1 3 -19.2026005 34.7280998 -45.4408989
15034 1 3 -25.0219994 44.2014008 -48.5465012
40123 1 3 -25.9023 46.5332985 -48.7941017
15675 1 3 -38.5595017 70.3130036 -42.9674988
39341 1 3 -8.5989304 16.1751995 -47.9278984
14250 1 3 -3.0627401 6.2525902 -48.5661011
16566 1 3 -31.0900993 75.4968033 -47.0779991
39971 1 3 -13.2294998 23.6802006 -40.9365006
40101 1 3 -29.8563004 51.9686012 -48.9318008
39339 1 3 -3.9278 8.5855398 -48.8148003
40122 1 3 -31.2581005 56.0570984 -46.4323006
39338 1 3 -9.26264 18.0622005 -46.4028015
35370 1 3 -33.4480019 75.9201966 -47.4910012
35372 1 3 -35.8119011 75.3888016 -47.0224991
40755 1 3 -35.2136002 62.0768013 -41.6413994
35387 1 3 -27.0450001 74.8943024 -48.1964989
35378 1 3 -22.2448006 75.7482987 -49.107399
35380 1 3 -24.6530991 75.393898 -48.5965996
46244 1 3 -14.5050001 25.8220997 -40.5027008
39317 1 3 -7.85631 14.0522003 -49.0527
46247 1 3 -16.0771008 29.0967999 -43.028801
40125 1 3 -30.5911007 54.1156998 -47.8700982
47028 1 3 -36.4146004 64.0463028 -40.9440994
47031 1 3 -37.882599 68.3405991 -41.7168999
39968 1 3 -20.7343998 36.8754998 -45.3356018
49336 1 3 2.0504601 -0.158115 -45.1755982
49338 1 3 -1.44641 4.7221799 -47.5974999
49347 1 3 -11.1526003 75.4233017 -40.8450012
49348 1 3 0.357417 74.1903992 -43.5317993
50220 1 3 14.6180001 -0.630739 -48.8911018
59696 1 3 4.4377799 -0.356553 -44.4045982
59627 1 3 13.1971998 -0.671761 -47.0662994
71362 1 3 24.1207008 0.282457 -47.5331002
72184 1 3 -18.0552998 74.9197006 -47.5768013
86275 1 3 7.76365 75.0011978 -47.3945999
85383 1 3 2.21473 75.5207978 -44.3054009
86273 1 3 10.1252003 75.7341004 -47.6274987
96547 1 3 8.4768496 -1.75365 -46.1176987
96468 1 3 16.9235002 -1.34041 -49.263401
73740 1 3 14.2778998 74.1231995 -47.9217988
74333 1 3 5.41817 74.1020966 -47.3033981
67469 1 3 12.4738999 75.4533005 -47.0764008
85332 1 3 -5.6475902 76.0633011 -43.9174004
96807 1 3 26.0834007 -1.61244 -43.8739014
63443 1 3 3.41676 74.8712998 -46.3358002
89301 1 3 0.106394 1.24663 -45.6106987
85331 1 3 -3.43275 76.2218018 -44.9325982
96370 1 3 10.6856003 -1.01934 -47.0175018
85070 1 3 -13.3107004 76.0677033 -41.7849999
85314 1 3 -14.8902998 75.8322983 -43.7841988
85315 1 3 -8.8395596 75.1094971 -40.7738991
85318 1 3 -16.1191006 75.5218964 -46.0129013
85329 1 3 -6.5710702 75.2776032 -41.6598015
85338 1 3 -1.3263 75.0399017 -45.7459984
96427 1 3 21.8216 -0.249498 -48.6595993
96818 1 3 27.8188992 -1.27826 -42.1795006
96406 1 3 19.3850994 -0.811724 -49.1080017
96808 1 3 24.3985996 -0.701833 -45.3591995
30 1 3 68.473198 -0.615941 -45.3911018
31 1 3 50.6570015 -1.4294 -44.6809006
49335 1 3 46.2038002 -0.254445 -45.3950997
49337 1 3 58.9972992 -1.0276999 -47.7350006
49350 1 3 32.5695 75.453598 -40.8947984
49351 1 3 51.1693001 66.1109009 -42.5858994
