# LAMMPS data file written by OVITO
60 atoms
4 atom types
1.5494194 89.3625488 xlo xhi
-0.5885881 75.2663269 ylo yhi
-80.0 80.0 zlo zhi
-44.0226059 0.0 0.0 xy xz yz

Masses

1  12.000
2  12.000
3   1.000
4   0.010

Atoms

148 1 1 -9.2416201 25.5154 -39.2536011
149 1 1 -7.8802 25.9624004 -39.2789002
150 1 1 -10.0759001 26.6814003 -39.1459007
151 1 2 -9.24154 27.8472996 -39.2538986
152 1 1 -7.88024 27.4001999 -39.2803002
153 1 1 8.9387704 12.3269997 -39.155201
154 1 1 9.5306797 11.0211 -39.2542992
155 1 2 7.2181702 10.7840996 -39.2826996
156 1 1 8.4633703 10.0655003 -39.2840996
157 1 1 7.5118399 12.1864004 -39.2542
158 1 1 29.1895008 4.6354599 -39.277401
159 1 1 29.4862995 3.23368 -39.2523003
160 1 2 30.913601 3.0968001 -39.1498985
161 1 1 30.4330998 5.3569899 -39.2803002
162 1 1 31.5028 4.4039202 -39.2528992
932 1 1 -31.2528992 63.4429016 -39.2536011
933 1 1 -29.8915006 63.8899002 -39.2789002
934 1 1 -32.0872002 64.608902 -39.1459007
935 1 2 -31.2528 65.7748032 -39.2538986
936 1 1 -29.8915006 65.3276978 -39.2803002
937 1 1 -13.0725002 50.2545014 -39.155201
938 1 1 -12.4806004 48.9486008 -39.2542992
939 1 2 -14.7931004 48.7116013 -39.2826996
940 1 1 -13.5479002 47.993 -39.2840996
941 1 1 -14.4995003 50.1138992 -39.2542
942 1 1 7.1781998 42.5629006 -39.277401
943 1 1 7.4749999 41.1610985 -39.2523003
944 1 2 8.9023 41.0242996 -39.1498985
945 1 1 8.4217997 43.284401 -39.2803002
946 1 1 9.4914999 42.3314018 -39.2528992
1716 1 1 34.6649018 25.5154 -39.2536011
1717 1 1 36.0264015 25.9624004 -39.2789002
1718 1 1 33.8306999 26.6814003 -39.1459007
1719 1 2 34.6650009 27.8472996 -39.2538986
1720 1 1 36.0262985 27.4001999 -39.2803002
1721 1 1 52.8452988 12.3269997 -39.155201
1722 1 1 53.4371987 11.0211 -39.2542992
1723 1 2 51.1246986 10.7840996 -39.2826996
1724 1 1 52.3698998 10.0655003 -39.2840996
1725 1 1 51.4183998 12.1864004 -39.2542
1726 1 1 73.0960999 4.6354599 -39.277401
1727 1 1 73.3928986 3.23368 -39.2523003
1728 1 2 74.8201981 3.0968001 -39.1498985
1729 1 1 74.3396988 5.3569899 -39.2803002
1730 1 1 75.409401 4.4039202 -39.2528992
2500 1 1 12.6535998 63.4429016 -39.2536011
2501 1 1 14.0150995 63.8899002 -39.2789002
2502 1 1 11.8193999 64.608902 -39.1459007
2503 1 2 12.6536999 65.7748032 -39.2538986
2504 1 1 14.0150003 65.3276978 -39.2803002
2505 1 1 30.8339997 50.2545014 -39.155201
2506 1 1 31.4258995 48.9486008 -39.2542992
2507 1 2 29.1133995 48.7116013 -39.2826996
2508 1 1 30.3586006 47.993 -39.2840996
2509 1 1 29.4071007 50.1138992 -39.2542
2510 1 1 51.0848007 42.5629006 -39.277401
2511 1 1 51.3815994 41.1610985 -39.2523003
2512 1 2 52.808899 41.0242996 -39.1498985
2513 1 1 52.3283997 43.284401 -39.2803002
2514 1 1 53.3981018 42.3314018 -39.2528992
