ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.3969359240097674e+00 1.4533293592401117e+02 0.0000000000000000e+00
-1.9408916347967953e-01 2.1784489163479449e+01 0.0000000000000000e+00
4.8660990128253090e-02 2.5711339009871438e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
6 1 0.566275 0.505244 1.88364 -7.1871 0.257182 0.779671 2.32332 
1446 1 0.376718 0.439484 7.09592 -8.32231 -0.260923 1.03063 0.620433 
736 1 8.70368 12.7155 2.19532 -7.76909 -0.340242 0.409573 -0.807412 
246 1 -0.733029 3.66334 2.91927 -7.40951 -0.0840861 -0.879562 2.04316 
1686 1 -0.538612 3.51899 8.37661 -8.19567 -0.405063 -1.94434 -0.917486 
3136 1 8.63065 5.60291 12.6089 -8.48024 0.638219 -0.15308 0.751477 
486 1 0.212648 7.9239 2.07279 -7.62934 2.56203 0.0990115 2.4295 
1926 1 0.212407 8.05539 7.55945 -7.93327 -0.689306 -0.974504 -2.85319 
23 1 9.83694 0.668391 5.55795 -8.85484 -0.502461 -2.40603 1.63504 
726 1 -0.403328 11.0587 3.2952 -7.82238 -0.319879 -0.148086 1.53973 
2166 1 -0.401966 11.0193 8.49803 -7.69268 1.68484 -0.0254515 0.0885032 
2423 1 10.469 15.3135 10.7751 -7.25499 -1.9994 1.62732 1.06672 
966 1 0.483335 15.2668 2.04751 -8.39035 -1.37041 -0.812143 -1.43962 
2406 1 0.602459 15.2054 7.13363 -8.30591 -0.433951 2.12611 1.01549 
2183 1 10.6932 12.302 10.0294 -7.87961 0.338749 -2.86146 -1.50239 
1206 1 -0.31747 18.2084 3.00184 -8.29764 -0.583547 0.525179 -0.312968 
2646 1 -0.4146 18.1624 8.22997 -8.94025 -1.54607 0.00850564 -1.62979 
3858 1 7.68973 15.1828 12.444 -8.03748 1.17225 1.86324 0.721323 
12 1 3.39995 0.384944 2.97021 -8.25762 -1.18446 -0.783357 -0.0958356 
1452 1 3.51107 0.228297 7.97024 -8.57806 -2.18575 -0.748542 2.30661 
3846 1 0.324863 15.3065 12.3454 -7.85913 0.564759 0.671993 1.05623 
252 1 3.63526 4.38312 2.45795 -7.02423 0.583887 -0.950418 -1.66449 
1692 1 3.99573 4.44157 7.15212 -7.65896 -0.565581 1.52378 2.76804 
1216 1 8.87356 20.1508 2.02672 -8.02447 -1.4772 1.50243 1.56595 
492 1 3.13913 7.08685 3.2411 -7.96491 -1.15009 2.3222 0.898961 
