# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  1 0.025 303.2 2038.97
  2 0.075 297 1947.14
  3 0.125 300.5 1892.41
  4 0.175 303 2012.9
  5 0.225 296.7 2023.35
  6 0.275 293.6 1965.97
  7 0.325 293.6 1991.08
  8 0.375 303.8 2037.17
  9 0.425 296.9 2047.4
  10 0.475 302.8 2129.51
  11 0.525 299.4 1984.17
  12 0.575 302.3 1966.11
  13 0.625 303.2 1982.95
  14 0.675 297.1 2035.11
  15 0.725 306.9 2046.28
  16 0.775 298.8 2032.28
  17 0.825 299 1975.5
  18 0.875 295.8 2042.67
  19 0.925 307.1 1879.13
  20 0.975 299.3 1924.36
2100 20 6000
  1 0.025 303 1842.1
  2 0.075 296.3 1889.07
  3 0.125 301.2 1879.2
  4 0.175 307 1976.2
  5 0.225 302.9 1941.33
  6 0.275 292.9 1939.84
  7 0.325 302.4 1995.64
  8 0.375 306.4 2020.81
  9 0.425 299.7 2126.74
  10 0.475 302.6 2090.87
  11 0.525 302.5 2154.77
  12 0.575 298.1 2013.86
  13 0.625 299.6 1971.14
  14 0.675 297.9 1958.34
  15 0.725 302 1930.19
  16 0.775 297.8 1932.26
  17 0.825 295.6 2090.05
  18 0.875 290.8 2030.41
  19 0.925 306 1943.29
  20 0.975 295.3 1870.64
3150 20 6000
  1 0.025 304.9 1898.37
  2 0.075 295.5 1879.19
  3 0.125 305.7 1910.15
  4 0.175 301.7 1967.38
  5 0.225 300.6 1941.35
  6 0.275 299.3 1938.98
  7 0.325 291.7 2091.91
  8 0.375 305.2 2022.42
  9 0.425 299.8 2131.95
  10 0.475 300.1 2204.17
  11 0.525 294 2184.15
  12 0.575 296.9 1992.9
  13 0.625 301.8 2016.19
  14 0.675 294.8 1961.73
  15 0.725 311.6 2029.21
  16 0.775 296.6 2041.26
  17 0.825 298.1 1907.61
  18 0.875 293.7 1990.57
  19 0.925 306.7 1954.18
  20 0.975 301.3 1874.04
4200 20 6000
  1 0.025 304 1863.67
  2 0.075 294.5 1876.21
  3 0.125 301 1901.38
  4 0.175 303.9 1909.34
  5 0.225 302.8 1895.42
  6 0.275 291.1 1967.48
  7 0.325 294.8 1969.17
  8 0.375 312.9 2036.11
  9 0.425 297.4 2147.14
  10 0.475 300.5 2201.65
  11 0.525 303.1 2177.88
  12 0.575 292.9 2146.43
  13 0.625 302.8 2080.8
  14 0.675 297.2 1961.51
  15 0.725 306.4 2044.15
  16 0.775 299.3 1912.61
  17 0.825 298.7 1941.54
  18 0.875 294.6 2010.53
  19 0.925 302.6 1908.57
  20 0.975 299.5 1879.9
5250 20 6000
  1 0.025 306.7 1836.98
  2 0.075 296.4 1828.65
  3 0.125 301.7 1948.41
  4 0.175 305.9 1962.58
  5 0.225 302 1958.87
  6 0.275 296.2 1995.26
  7 0.325 296.4 1897.73
  8 0.375 306 2069.99
  9 0.425 299.7 2166.94
  10 0.475 297.6 2137.73
  11 0.525 299.3 2141.42
  12 0.575 297.4 2127.99
  13 0.625 300.1 2126.22
  14 0.675 293.6 2049.9
  15 0.725 306.9 1977.75
  16 0.775 296.6 1951.23
  17 0.825 298.9 1953.82
  18 0.875 290.2 1969.45
  19 0.925 309.2 1915.43
  20 0.975 299.2 1873.39
6300 20 6000
  1 0.025 303.6 1785.66
  2 0.075 298.5 1790.75
  3 0.125 296.5 1985.3
  4 0.175 303.1 1972.12
  5 0.225 301.7 1889.87
  6 0.275 290.7 2028.78
  7 0.325 295.3 2076.5
  8 0.375 309.4 1957.96
  9 0.425 301.4 2084.19
  10 0.475 301.7 2194.4
  11 0.525 298.2 2149.03
  12 0.575 301.5 2150.9
  13 0.625 301.1 2033.49
  14 0.675 295.1 2036.1
  15 0.725 305.4 1994.12
  16 0.775 298.3 1914.92
  17 0.825 297.3 1934.6
  18 0.875 293.5 1893.94
  19 0.925 307.1 1911.78
  20 0.975 300.6 1888.15
7350 20 6000
  1 0.025 304.5 1818.05
  2 0.075 299.1 1864.15
  3 0.125 300.2 1889.21
  4 0.175 301.7 1961.11
  5 0.225 297.4 2009.77
  6 0.275 294.9 2013.04
  7 0.325 296.8 2036.32
  8 0.375 306.3 2132.41
  9 0.425 301.4 2110.16
  10 0.475 301 2194.88
  11 0.525 299.4 2113.38
  12 0.575 298 2111.75
  13 0.625 302.5 2083.62
  14 0.675 293.1 2078.27
  15 0.725 306.8 1881.83
  16 0.775 296.3 1912.49
  17 0.825 294.4 1968.41
  18 0.875 294.5 1939.56
  19 0.925 309.2 1788.56
  20 0.975 302.5 1760.91
8400 20 6000
  1 0.025 305.8 1687.86
  2 0.075 300 1818.85
  3 0.125 299.9 1795.4
  4 0.175 303.5 1917.33
  5 0.225 298.6 2051.84
  6 0.275 299.6 2067.53
  7 0.325 294 2054.03
  8 0.375 304.7 2084.83
  9 0.425 300 2260.47
  10 0.475 302.4 2223.2
  11 0.525 298.6 2136.28
  12 0.575 298 2113.72
  13 0.625 301.4 1987.17
  14 0.675 291.7 2091.98
  15 0.725 309.7 2053.94
  16 0.775 295.2 1962.91
  17 0.825 296 1883.15
  18 0.875 292.5 1944.2
  19 0.925 310.9 1862.46
  20 0.975 297.5 1817.11
9450 20 6000
  1 0.025 306.2 1616.33
  2 0.075 296.6 1732.6
  3 0.125 299 1944.41
  4 0.175 305 1877.75
  5 0.225 298.9 2078.01
  6 0.275 295.9 2089.66
  7 0.325 297.3 2052.78
  8 0.375 305.7 2176.8
  9 0.425 297.6 2186.84
  10 0.475 303.2 2138.2
  11 0.525 294.4 2137.02
  12 0.575 299.5 2104.64
  13 0.625 299.9 2171.3
  14 0.675 295.5 2146.75
  15 0.725 310.8 2050.63
  16 0.775 295 1924.43
  17 0.825 295.8 1921.97
  18 0.875 294.4 1856.69
  19 0.925 310.2 1866.52
  20 0.975 299.1 1744.6
10500 20 6000
  1 0.025 309.3 1711.84
  2 0.075 299.6 1800.84
  3 0.125 302 1889.04
  4 0.175 305.3 1895.97
  5 0.225 301.2 1983.84
  6 0.275 295.2 2051.6
  7 0.325 298 2146.92
  8 0.375 302.3 2231.79
  9 0.425 301.2 2029.95
  10 0.475 302.1 2146.79
  11 0.525 298.8 2102.71
  12 0.575 293.1 2271.51
  13 0.625 301.3 2091.38
  14 0.675 297.4 2036.75
  15 0.725 305.4 1984.59
  16 0.775 295 1968.49
  17 0.825 298.5 1939.17
  18 0.875 293.5 1831.79
  19 0.925 305.9 1812.76
  20 0.975 294.9 1664.71
11550 20 6000
  1 0.025 309.1 1669.33
  2 0.075 298.8 1711.82
  3 0.125 298.8 1795.85
  4 0.175 302.9 1904.04
  5 0.225 300.5 2014.62
  6 0.275 294.6 2064.46
  7 0.325 294.4 2061.13
  8 0.375 299.6 2140.64
  9 0.425 307.3 2116.28
  10 0.475 300.1 2151.54
  11 0.525 298.7 2250.41
  12 0.575 295.6 2329.25
  13 0.625 302.6 2186.62
  14 0.675 297.2 2141.85
  15 0.725 306.9 1959.64
  16 0.775 294.3 1894.27
  17 0.825 297.7 1879.92
  18 0.875 293.7 1876.42
  19 0.925 307.7 1772.75
  20 0.975 299.5 1787.37
12600 20 6000
  1 0.025 308 1694.54
  2 0.075 300.3 1704.03
  3 0.125 302.3 1821.21
  4 0.175 300.4 1937.63
  5 0.225 303.2 1986.01
  6 0.275 296.3 2064.54
  7 0.325 294.1 2063.37
  8 0.375 304.2 2109.84
  9 0.425 297.4 2077.83
  10 0.475 302 2225.62
  11 0.525 298 2279.52
  12 0.575 296.6 2174.89
  13 0.625 303.7 2221.5
  14 0.675 291.9 2187.66
  15 0.725 303.4 2010.04
  16 0.775 298.1 1776.6
  17 0.825 296.1 1870.14
  18 0.875 295.6 1842.43
  19 0.925 306.9 1805.11
  20 0.975 301.5 1725.77
13650 20 6000
  1 0.025 308.3 1657.66
  2 0.075 297.7 1723.46
  3 0.125 302.7 1812.37
  4 0.175 302.7 1949.55
  5 0.225 301 1945.31
  6 0.275 296.1 2012.04
  7 0.325 293.9 2057.4
  8 0.375 309.3 2126.17
  9 0.425 298.1 2129.25
  10 0.475 301.7 2262.52
  11 0.525 300.4 2262.79
  12 0.575 299.3 2307.84
  13 0.625 296.4 2208.33
  14 0.675 294.3 2087.35
  15 0.725 306.9 1896.82
  16 0.775 299.1 1897.71
  17 0.825 296.8 1856.86
  18 0.875 289.5 1866
  19 0.925 306 1809.49
  20 0.975 299.8 1726.65
14700 20 6000
  1 0.025 306 1640.01
  2 0.075 299.8 1728.33
  3 0.125 299.4 1837.32
  4 0.175 301.1 1926.83
  5 0.225 301.4 1997.71
  6 0.275 295.7 2089.19
  7 0.325 295.9 1949.92
  8 0.375 306.1 2077.75
  9 0.425 299.1 2164.3
  10 0.475 304.2 2165.21
  11 0.525 291.3 2288.12
  12 0.575 297.7 2273.37
  13 0.625 294.2 2299.92
  14 0.675 296.4 2193.93
  15 0.725 304.4 2004.4
  16 0.775 300.7 1888.46
  17 0.825 300.8 1878.84
  18 0.875 295 1811.82
  19 0.925 308.1 1757.09
  20 0.975 302.7 1767.08
15750 20 6000
  1 0.025 309.1 1635.71
  2 0.075 299.2 1755.7
  3 0.125 296.8 1744.47
  4 0.175 301.2 1906.93
  5 0.225 303.1 1899.37
  6 0.275 292 2023.81
  7 0.325 299.6 2066.83
  8 0.375 308 2100.92
  9 0.425 301.5 2111.91
  10 0.475 300.4 2335.47
