ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
12960
ITEM: BOX BOUNDS xy xz yz pp pp pp
-2.1300586426096402e-01 2.1803405864260888e+01 0.0000000000000000e+00
-2.1487285383260257e-01 2.1805272853832129e+01 0.0000000000000000e+00
6.1471058551430247e-01 3.0850528941448414e+02 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
6 1 0.677923 0.79519 2.36437 -8.72202 0.259026 2.45678 1.19113 
222 1 0.439492 0.826894 7.73986 -7.1124 0.77348 -0.135897 -2.54262 
582 1 0.26865 15.4691 12.7783 -7.46379 -0.7101 -1.37598 -0.865863 
42 1 0.603879 4.25039 3.03253 -7.83303 -1.77502 -0.748647 -0.0675872 
258 1 0.757241 4.50592 8.20789 -7.75911 -0.0431288 -0.427601 -0.236804 
512 2 4.50887 10.1798 11.6204 -28.4241 0.954841 -1.78249 0.307034 
78 1 0.677272 8.46682 2.53891 -8.52314 -0.0160666 -0.281896 -2.28019 
294 1 0.870709 8.37134 7.78745 -7.60102 0.161817 -1.17783 -2.39165 
578 2 0.609133 17.5833 11.5933 -29.307 0.0277131 -0.225456 1.8494 
114 1 0.32332 11.6807 3.39769 -7.71732 2.99859 0.716065 -1.3502 
330 1 0.79931 11.7977 8.13044 -7.7951 -0.369941 2.10223 -1.00629 
117 1 5.69754 14.9419 0.705766 -7.32775 3.51301 0.199204 1.76944 
150 1 0.685557 15.6622 2.43615 -7.59174 2.40841 0.546951 -0.00982848 
366 1 0.636945 15.9166 7.65699 -8.31009 0.549718 -2.89422 1.15676 
12881 1 14.3638 12.1815 1.00817 -7.87497 -0.534043 0.0771665 -1.63632 
186 1 0.787965 18.9253 2.87368 -8.55307 -1.17439 0.459951 0.191638 
402 1 0.512738 19.1322 8.18995 -7.26875 -0.321656 1.89502 -2.23214 
75 1 2.20667 11.3896 0.834945 -7.72493 -0.21416 -1.10265 -1.32 
12 1 4.54904 0.493879 3.29199 -8.0016 -2.55173 1.51579 -0.582874 
228 1 4.24439 0.76124 8.03176 -7.61001 1.28501 -0.303403 0.0769024 
3 1 2.46412 3.88132 1.00122 -8.09044 -0.126486 -0.692096 -0.139416 
48 1 4.68816 4.9923 2.49648 -8.07194 -3.36729 -3.62684 -2.56161 
264 1 4.39704 4.92321 7.66433 -6.93088 -0.747732 -1.64553 -2.44857 
12929 1 21.4408 19.5792 0.681008 -7.65426 1.52685 -0.591101 2.26968 
84 1 4.06813 8.36732 3.05118 -8.07584 0.581494 -2.49849 -0.946678 
300 1 4.2907 8.36331 8.054 -7.66871 0.0842551 -0.349647 -0.0432809 
500 2 18.894 6.41606 11.7613 -28.7397 2.31644 -0.798807 -0.0647619 
120 1 4.69214 12.2947 2.25851 -7.88398 0.794988 -1.87508 0.723494 
336 1 4.43053 12.036 7.63492 -7.05927 0.043266 1.35013 -2.44766 
45 1 5.72442 7.55114 0.928924 -8.30968 0.79033 0.171482 -0.576737 
