ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-3.3644984672871203e-01 1.4427244984672262e+02 0.0000000000000000e+00
-3.4938705187348873e-02 2.1625338705187247e+01 0.0000000000000000e+00
-1.5887599433890998e-01 2.5918875994338784e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
6 1 0.428444 1.01341 2.2932 -8.24504 0.229745 -0.528032 -0.41048 
1446 1 0.442044 0.890609 7.39904 -7.59112 0.275453 0.911911 0.60223 
2886 1 0.510399 0.915394 12.6453 -8.07874 -0.54899 0.122139 -0.777366 
246 1 0.522327 4.49263 2.20496 -8.32285 0.017001 -0.241069 -0.844824 
1686 1 0.567536 4.54205 7.35971 -8.09202 -0.217729 0.197555 -0.256218 
3126 1 0.46911 4.34422 12.5265 -8.12099 0.311405 0.42039 1.01181 
486 1 0.525408 8.0511 2.22994 -7.7382 -0.185101 0.612514 -0.0297329 
1926 1 0.426962 8.0811 7.31656 -7.85303 0.273421 0.115948 0.2907 
3366 1 0.652724 8.01258 12.575 -8.16278 -0.68091 1.23077 0.15904 
726 1 0.618199 11.7162 2.17042 -7.90747 -0.105209 0.266031 0.575158 
2166 1 0.494255 11.7597 7.43947 -8.2425 0.0495422 0.0649311 0.291095 
3606 1 0.490465 11.7718 12.5056 -7.82596 0.592212 -1.48969 1.13898 
966 1 0.611163 15.388 2.1653 -7.52975 -0.0833848 -0.916048 -0.654967 
2406 1 0.452779 15.4335 7.36145 -7.72884 1.06343 -0.547903 -0.247758 
3846 1 0.576897 15.3064 12.5536 -7.85018 -0.20957 -0.0653182 -0.43284 
1206 1 0.668629 18.9857 2.06695 -8.1993 -0.317642 -1.54522 0.567648 
2646 1 0.614777 18.9086 7.2578 -7.74575 -0.4906 0.0448195 1.38689 
4086 1 0.588499 18.9529 12.5633 -7.81644 0.0335426 -0.688277 -0.248555 
12 1 4.27705 0.819397 2.07848 -7.68354 -0.0427938 0.0673467 -0.24729 
1452 1 4.08495 0.881254 7.29127 -7.6101 -0.112539 -0.908253 0.497522 
2892 1 4.27279 0.872424 12.5159 -7.99326 0.273513 0.252458 0.288919 
252 1 4.13443 4.42912 1.95032 -7.88434 0.0949822 1.23913 0.626991 
1692 1 4.16348 4.52365 7.29412 -7.8614 -0.456279 0.0545051 -0.169341 
3132 1 4.18682 4.55801 12.5246 -7.94169 0.328046 -0.325952 0.357565 
492 1 4.15858 8.03169 2.12149 -7.8529 1.06929 -0.47209 -0.00968039 
1932 1 4.16696 8.22065 7.48826 -8.07489 -0.0103995 -0.672317 -1.07366 
3372 1 3.94926 8.06616 12.6551 -7.98383 1.64529 0.298208 -0.232097 
732 1 4.14058 11.6732 2.06925 -7.9663 0.398823 0.73344 1.15974 
2172 1 4.05198 11.7298 7.33471 -7.64411 0.0844736 -0.729328 -0.507772 
3612 1 3.99902 11.8038 12.5271 -7.36228 0.204104 -1.5224 0.454548 
972 1 4.26592 15.3643 2.00105 -7.46892 0.0919129 -1.0833 1.21637 
2412 1 4.08123 15.2711 7.29055 -7.35212 -0.38232 0.881391 -0.217137 
3852 1 4.13689 15.3057 12.5971 -7.57991 -0.267951 1.06642 -0.0381438 
1212 1 4.03042 19.0668 1.99562 -8.17678 0.437211 -0.720825 0.721789 
2652 1 4.3288 19.0398 7.32915 -7.94698 -0.89525 -0.118831 -0.181934 
4092 1 4.23324 18.999 12.558 -7.71335 -0.670548 0.622903 0.156833 
18 1 7.80249 0.959079 2.11789 -8.14971 0.201585 -0.43802 -0.234302 
1458 1 7.76794 0.964585 7.31128 -8.04033 0.866035 -0.776456 0.66387 
2898 1 7.70638 0.900514 12.5468 -7.70216 -0.053561 0.453309 -0.720274 
258 1 7.88426 4.29534 2.18074 -7.97739 -0.756167 0.803417 -0.717722 
1698 1 7.68519 4.50518 7.43556 -8.0042 0.171307 0.288214 -0.205395 
3138 1 7.80885 4.5418 12.5556 -8.0355 0.135777 0.631899 0.184094 
498 1 7.71408 7.96762 2.14155 -7.97895 -0.244222 0.980274 -0.854591 
1938 1 7.79059 8.07868 7.39339 -8.28551 0.151992 0.25201 -0.601809 
3378 1 7.70828 8.19811 12.5074 -8.09302 0.387592 0.0279548 0.270943 
738 1 7.69537 11.5971 2.07176 -7.92459 -0.00405762 0.226538 1.21952 
2178 1 7.78117 11.841 7.38456 -7.90644 0.19639 -1.15651 0.251135 
3618 1 7.64561 11.7334 12.678 -7.81683 0.374357 -0.860675 -0.576313 
978 1 7.72498 15.3994 2.20209 -7.93823 -0.818985 0.117031 0.258099 
2418 1 7.84491 15.3587 7.40576 -7.84626 -0.157502 -0.549814 -0.397563 
3858 1 7.68588 15.2622 12.5256 -7.64788 -0.301807 0.85647 -0.396777 
1218 1 7.79968 18.8424 2.16309 -8.24533 0.147388 0.564386 -1.10301 
2658 1 7.47933 18.7857 7.32321 -7.66133 1.3583 1.5896 -0.536391 
4098 1 7.82001 18.8723 12.5368 -7.90943 0.246584 0.124671 -0.0985493 
24 1 11.5253 0.811611 2.16757 -7.83302 -1.1983 -0.327071 0.269164 
1464 1 11.2612 0.813538 7.40438 -8.08751 -0.0866838 0.28331 -0.339679 
2904 1 11.346 0.898743 12.5404 -7.54942 0.146728 -0.537263 0.0692146 
264 1 11.3744 4.5251 2.18392 -7.57191 -0.0808417 0.0687286 -1.38459 
1704 1 11.4568 4.52501 7.38158 -7.71648 0.568502 -0.230759 -0.667133 
3144 1 11.3781 4.47344 12.545 -7.60176 -0.890746 0.532229 -0.652532 
504 1 11.2841 8.04011 2.05189 -7.79146 -0.0630482 0.456602 0.67894 
1944 1 11.3232 8.07101 7.40244 -8.06793 0.882739 0.122153 -0.0930965 
3384 1 11.3803 8.16739 12.5132 -7.76343 -0.160133 -0.182877 -0.313566 
744 1 11.1563 11.7476 2.2012 -7.89549 -0.24496 -0.013823 -0.624019 
2184 1 11.3687 11.7161 7.3436 -7.87088 -0.382483 -0.216051 0.0537591 
3624 1 11.3511 11.7383 12.5463 -8.18466 0.182434 0.164846 0.469328 
984 1 11.2995 15.2071 1.98451 -7.67106 1.11938 1.32789 0.973271 
2424 1 11.4748 15.36 7.36098 -7.99311 -0.409093 -0.110667 -1.24844 
3864 1 11.4248 15.2434 12.603 -7.85011 -0.126596 0.0980621 -0.87238 
1224 1 11.398 18.8361 2.13025 -7.79895 -1.08246 1.22792 -1.0136 
2664 1 11.4397 18.8907 7.33895 -7.81868 -0.212564 0.704283 -1.69789 
4104 1 11.1396 18.9324 12.4421 -7.94791 0.293682 0.697085 0.399388 
5 1 0.446837 0.918544 4.87069 -7.67649 -0.235253 -0.122071 -0.798473 
1445 1 0.437343 0.770586 10.0012 -8.56454 -0.647235 0.984542 0.666862 
245 1 0.539536 4.65024 4.67592 -7.65988 0.105971 -0.368354 0.764772 
1685 1 0.624887 4.3803 9.94034 -7.80959 0.0284315 -0.191968 0.300159 
485 1 0.555658 7.99238 4.79278 -8.0194 -0.473475 0.256481 0.00949631 
1925 1 0.535389 8.09939 9.8997 -7.97731 -0.540708 0.378621 1.31958 
725 1 0.518616 11.6383 4.8937 -8.043 0.536603 1.19081 -0.907048 
2165 1 0.556811 11.6275 9.97618 -7.98406 -0.504466 0.207275 -0.0997792 
965 1 0.452583 15.4084 4.78087 -7.72023 -0.516522 0.302354 -0.00577246 
2405 1 0.587809 15.225 9.88214 -7.83332 0.578455 -0.411035 0.9313 
1205 1 0.536183 18.9456 4.74489 -7.78335 0.654812 0.31677 -1.34131 
2645 1 0.545346 19.0082 9.97643 -7.97209 -0.175094 -1.03805 -0.815823 
11 1 4.0472 1.01669 4.68483 -7.59286 0.00538016 -0.208462 0.0802597 
1451 1 4.29513 0.817335 9.9722 -8.0031 -0.436156 -0.228023 -0.185112 
251 1 4.12258 4.49597 4.60162 -7.70027 0.2476 -0.448901 0.461525 
1691 1 4.14075 4.41385 9.90487 -7.54111 -0.194065 0.729564 0.0674415 
491 1 4.15897 8.09109 4.76383 -8.06126 -0.224937 0.38644 0.610998 
1931 1 4.20993 8.16434 10.0614 -7.73141 -0.294971 -0.609845 0.0622572 
731 1 4.10216 11.7603 4.75241 -7.9865 -0.762184 -0.265716 -0.737153 
2171 1 4.17953 11.7305 9.87077 -7.43029 0.465658 -0.758276 0.399784 
971 1 4.13991 15.1742 4.66028 -7.86219 0.296893 0.492523 -0.221953 
2411 1 4.18664 15.2992 9.96165 -7.65992 -0.0896065 0.126897 0.226109 
1211 1 4.16369 19.0596 4.65569 -8.06072 -0.379841 -0.945203 -0.132768 
2651 1 4.07216 18.9236 10.0056 -7.72157 0.165876 0.221591 -0.928999 
17 1 7.70917 0.933158 4.70257 -7.87232 0.175824 0.151489 0.274954 
1457 1 7.71865 0.952702 9.93742 -8.39805 0.455546 -0.269373 0.940569 
257 1 7.75068 4.52459 4.81339 -7.74145 -0.828921 0.358933 -0.275764 
1697 1 7.86823 4.66879 9.95851 -8.04856 0.137582 -0.477478 0.538238 
497 1 7.69103 8.07765 4.68089 -8.07591 0.834667 0.334313 1.03487 
1937 1 7.71506 8.12054 9.94827 -8.14909 0.450962 0.170457 -0.0683019 
737 1 7.87128 11.7275 4.75291 -8.07027 -0.297597 0.266366 -0.642576 
2177 1 7.83424 11.7807 10.0932 -8.09048 -0.385434 -0.984303 -1.02396 
977 1 7.71045 15.3199 4.83001 -8.12677 -0.357638 -0.626046 -0.181333 
2417 1 7.90118 15.4254 9.92698 -7.91883 -0.13011 -0.17466 0.997999 
1217 1 7.68205 18.9198 4.72827 -7.99552 0.152936 0.977266 0.402328 
2657 1 7.87258 18.7187 9.87028 -7.21304 -0.756417 0.693924 0.163935 
23 1 11.2022 1.03792 4.75493 -8.11694 0.62546 -0.712644 0.589963 
1463 1 11.374 0.822372 9.97097 -7.94933 -0.460727 0.328649 -0.212803 
263 1 11.3893 4.53564 4.6979 -7.71722 -0.0943945 0.0326809 1.19588 
1703 1 11.3823 4.57421 9.89324 -7.85098 -0.787649 0.227915 1.00145 
503 1 11.3414 7.9851 4.74007 -7.61524 -0.388161 0.687334 -0.575666 
1943 1 11.4256 8.13419 9.95462 -7.74739 -0.311843 -0.713072 -0.363977 
743 1 11.382 11.7128 4.73197 -8.0419 -0.0604398 0.627234 0.905539 
2183 1 11.3534 11.6682 9.99443 -8.41681 0.93435 0.553169 -0.384464 
983 1 11.3266 15.3936 4.64189 -8.14225 0.217634 0.440653 0.371489 
2423 1 11.4418 15.3646 9.91068 -7.88234 -0.278093 -0.633986 0.687531 
1223 1 11.3378 18.9317 4.65051 -8.29211 -0.523747 -0.108285 1.32252 
2663 1 11.5174 18.9709 9.85673 -7.50875 -1.24206 1.45836 0.791672 
2 2 0.420894 2.73112 1.17072 -29.1287 1.25667 -0.378956 -0.903284 
1442 2 0.452411 2.76185 6.4066 -29.3111 0.324443 -1.04376 -0.188251 
2882 2 0.434607 2.60585 11.5189 -28.7285 1.02461 0.364091 -0.481427 
242 2 0.613006 6.28455 1.16158 -29.1591 -0.519945 0.464618 0.299518 
1682 2 0.577476 6.31918 6.29683 -29.2446 -0.172567 -0.346256 0.216443 
3122 2 0.550497 6.18516 11.7118 -29.0744 1.3002 0.246307 -1.69355 
482 2 0.502293 9.8526 1.19409 -29.5244 -0.28273 0.323848 -0.00348114 
1922 2 0.56493 9.91107 6.46038 -29.0621 -0.813962 0.125191 -0.607713 
3362 2 0.522322 9.88095 11.6425 -29.0464 0.524167 0.0866182 -0.527106 
722 2 0.563356 13.5603 1.06295 -29.1961 -0.677317 -0.0714437 0.780991 
2162 2 0.407648 13.4948 6.41791 -28.9732 0.576026 1.30962 -0.458277 
