# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 12000
  1 0.025 601.9 487.903
  2 0.075 597.6 496.799
  3 0.125 597.5 484.013
  4 0.175 600.8 491.952
  5 0.225 600.6 486.815
  6 0.275 602.7 516.574
  7 0.325 606.3 486.772
  8 0.375 621.4 504.158
  9 0.425 604.3 501.875
  10 0.475 605.3 496.39
  11 0.525 599.9 503.259
  12 0.575 600 505.12
  13 0.625 600.5 488.589
  14 0.675 601 484.233
  15 0.725 590.7 503.127
  16 0.775 589.3 490.592
  17 0.825 599.2 500.066
  18 0.875 593.3 502.767
  19 0.925 585.6 507.323
  20 0.975 602.1 477.246
2100 20 12000
  1 0.025 608 474.623
  2 0.075 599.8 499.37
  3 0.125 598.1 486.083
  4 0.175 600.6 492.064
  5 0.225 598.9 501.394
  6 0.275 602.2 487.751
  7 0.325 599.8 506.921
  8 0.375 610.3 513.567
  9 0.425 595.3 509.082
  10 0.475 602 497.392
  11 0.525 594.8 509.583
  12 0.575 598 505.494
  13 0.625 598.5 502.586
  14 0.675 607 485.24
  15 0.725 588.4 490.379
  16 0.775 592.7 489.079
  17 0.825 608.9 506.073
  18 0.875 599.7 514.139
  19 0.925 591.8 511.066
  20 0.975 605.2 491.927
3150 20 12000
  1 0.025 598.3 472.82
  2 0.075 593.4 477.388
  3 0.125 596 485.049
  4 0.175 599.4 500.807
  5 0.225 597.6 486.614
  6 0.275 602.5 496.424
  7 0.325 601.8 504.329
  8 0.375 615.5 517.617
  9 0.425 600.6 505.732
  10 0.475 608.1 494.675
  11 0.525 598.2 513.222
  12 0.575 601.8 507.942
  13 0.625 600.8 502.501
  14 0.675 603.8 495.382
  15 0.725 593.8 506.089
  16 0.775 594.8 485.379
  17 0.825 607.4 495.915
  18 0.875 598.2 491.878
  19 0.925 587.1 490.166
  20 0.975 600.9 485.984
4200 20 12000
  1 0.025 600.7 477.381
  2 0.075 598 443.294
  3 0.125 598.5 494.439
  4 0.175 600.2 492.475
  5 0.225 600.4 480.675
  6 0.275 602.6 507.385
  7 0.325 607.2 495.884
  8 0.375 619.8 485.57
  9 0.425 604.1 525.94
  10 0.475 608.1 514.871
  11 0.525 600.2 497.283
  12 0.575 600.8 517.992
  13 0.625 599.5 505.525
  14 0.675 600.9 492.395
  15 0.725 592.5 492.933
  16 0.775 589.4 505.494
  17 0.825 600.4 499.677
  18 0.875 591.6 502.084
  19 0.925 585 498.587
  20 0.975 600.1 493.375
5250 20 12000
  1 0.025 607.1 477.61
  2 0.075 600.3 481.875
  3 0.125 597.7 491.8
  4 0.175 602.8 488.312
  5 0.225 598.7 492.303
  6 0.275 601.9 502.805
  7 0.325 600.9 502.498
  8 0.375 611.5 489.558
  9 0.425 596.5 506.518
  10 0.475 601.7 506.531
  11 0.525 593.4 517.995
  12 0.575 597.4 520.052
  13 0.625 597.7 507.254
  14 0.675 604.7 497.108
  15 0.725 586 496.295
  16 0.775 596.2 499.175
  17 0.825 604.9 499.344
  18 0.875 599.2 486.409
  19 0.925 595 497.594
  20 0.975 606.4 479.094
6300 20 12000
  1 0.025 600.2 465.736
  2 0.075 594.4 481.483
  3 0.125 595.7 477.908
  4 0.175 600.7 474.621
  5 0.225 598.8 482.654
  6 0.275 600.5 507.176
  7 0.325 601.8 497.869
  8 0.375 615.2 517.822
  9 0.425 600.8 521.913
  10 0.475 608.7 504.823
  11 0.525 597.7 524.61
  12 0.575 601.4 511.269
  13 0.625 599.9 521.977
  14 0.675 603.6 514.414
  15 0.725 591.5 501.418
  16 0.775 594.6 500.579
  17 0.825 607 482.749
  18 0.875 599.2 486.347
  19 0.925 586.6 485.155
  20 0.975 601.7 473.994
7350 20 12000
  1 0.025 598.3 471.04
  2 0.075 597 482.001
  3 0.125 597.7 480.639
  4 0.175 600.3 477.14
  5 0.225 599.8 490.099
  6 0.275 602.4 504.571
  7 0.325 607.4 504.627
  8 0.375 620.4 495.618
  9 0.425 602.2 526.419
  10 0.475 609.1 520.06
  11 0.525 600.8 532.654
  12 0.575 599.3 512.542
  13 0.625 600.3 518.806
  14 0.675 602.6 506.306
  15 0.725 590.7 498.386
  16 0.775 591.3 517.97
  17 0.825 601.9 481.97
  18 0.875 592.9 463.077
  19 0.925 584.9 477.237
  20 0.975 600.7 470.764
8400 20 12000
  1 0.025 605.6 482.017
  2 0.075 603 491.284
  3 0.125 598.3 474.726
  4 0.175 602.8 489.437
  5 0.225 600.9 482.913
  6 0.275 602.1 491.478
  7 0.325 599.4 490.329
  8 0.375 609.7 484.932
  9 0.425 596.7 505.494
  10 0.475 602.3 525.321
  11 0.525 593 544.147
  12 0.575 596.1 529.845
  13 0.625 597 528.618
  14 0.675 604.4 502.624
  15 0.725 586.3 493.011
  16 0.775 593 491.136
  17 0.825 606.8 483.375
  18 0.875 600.3 462.015
  19 0.925 593.9 479.063
  20 0.975 608.4 477.354
9450 20 12000
  1 0.025 601 442.969
  2 0.075 597.2 457.152
  3 0.125 595.2 480.539
  4 0.175 601.5 496.72
  5 0.225 598.2 488.515
  6 0.275 602 479.922
