# Time-averaged data for fix f4
# TimeStep c_Znmsd[1] c_Znmsd[2] c_Znmsd[3] c_Znmsd[4]
1000 0.0659829 0.0572503 0.0548756 0.178109
2000 0.0705495 0.0644576 0.0540515 0.189059
3000 0.0689699 0.0646219 0.0522952 0.185887
4000 0.0761949 0.0678855 0.0627547 0.206835
5000 0.0702067 0.0739602 0.0755763 0.219743
6000 0.0698087 0.0722038 0.0732297 0.215242
7000 0.0702401 0.0744541 0.0732388 0.217933
8000 0.0668769 0.0710579 0.0656943 0.203629
9000 0.0720103 0.067562 0.0759897 0.215562
10000 0.0701008 0.0679844 0.0787689 0.216854
11000 0.0684923 0.0667411 0.0593165 0.19455
12000 0.0732368 0.0661096 0.0790405 0.218387
13000 0.0705164 0.0656513 0.0837151 0.219883
14000 0.0677899 0.0674522 0.0786145 0.213857
15000 0.0721336 0.0664484 0.0796655 0.218248
16000 0.066282 0.0536485 0.0696564 0.189587
17000 0.0718619 0.0648022 0.0856201 0.222284
18000 0.0661293 0.0637156 0.0742436 0.204088
19000 0.0743887 0.0667264 0.0664032 0.207518
20000 0.0773043 0.0702097 0.0710323 0.218546
21000 0.0695457 0.0636665 0.065043 0.198255
22000 0.0689572 0.0605347 0.069674 0.199166
23000 0.0717783 0.0656442 0.0724994 0.209922
24000 0.0674888 0.0604384 0.0761924 0.20412
25000 0.0721021 0.0653755 0.0754988 0.212976
26000 0.0726308 0.0654588 0.0674197 0.205509
27000 0.068444 0.0625482 0.0503979 0.18139
28000 0.0707488 0.0576566 0.0583632 0.186769
29000 0.0731145 0.0627054 0.0743887 0.210209
30000 0.0755476 0.0654752 0.0587287 0.199752
31000 0.074815 0.0677485 0.0632642 0.205828
32000 0.0712004 0.0651734 0.0585906 0.194964
33000 0.0715906 0.0658722 0.0677942 0.205257
34000 0.0725538 0.0582881 0.0678656 0.198707
35000 0.0751454 0.0681165 0.0702209 0.213483
36000 0.0719467 0.059743 0.0656845 0.197374
37000 0.0730388 0.0636861 0.0765662 0.213291
38000 0.074461 0.0660091 0.0654733 0.205943
39000 0.0765848 0.0619009 0.0749029 0.213389
40000 0.0742245 0.0691979 0.0695211 0.212943
41000 0.0702657 0.0605627 0.0684307 0.199259
42000 0.0708177 0.0664677 0.0724908 0.209776
43000 0.0704777 0.0656788 0.0637909 0.199947
44000 0.0752085 0.063123 0.064585 0.202916
45000 0.0827556 0.0626661 0.0691409 0.214563
46000 0.0770143 0.0637487 0.0748256 0.215589
47000 0.0665072 0.0609738 0.055271 0.182752
48000 0.069758 0.0648132 0.0775363 0.212107
49000 0.0701079 0.0692305 0.0812507 0.220589
50000 0.0654403 0.0647136 0.0739349 0.204089
51000 0.0703877 0.0673833 0.0703223 0.208093
52000 0.0731027 0.0623659 0.067834 0.203303
53000 0.0623854 0.0584085 0.0620853 0.182879
54000 0.0582823 0.0617021 0.0627486 0.182733
55000 0.0602123 0.0567559 0.0657177 0.182686
56000 0.0639789 0.0562022 0.0592441 0.179425
57000 0.0643141 0.0571248 0.0568852 0.178324
58000 0.0626888 0.0565114 0.0550441 0.174244
59000 0.0634744 0.0577693 0.0498572 0.171101
60000 0.0654697 0.0543717 0.0558056 0.175647
61000 0.0671722 0.0544524 0.0570805 0.178705
62000 0.0682118 0.0547926 0.0662627 0.189267
63000 0.0633697 0.0502998 0.0718468 0.185516
64000 0.0666769 0.0533017 0.0594533 0.179432
65000 0.0692093 0.0488592 0.0642054 0.182274
66000 0.0684723 0.0483908 0.0561452 0.173008
67000 0.0632834 0.0472996 0.0587561 0.169339
68000 0.0622704 0.0466926 0.0627872 0.17175
69000 0.06431 0.0511096 0.0526074 0.168027
70000 0.0647722 0.0461855 0.0522061 0.163164
71000 0.0648044 0.0468834 0.0640288 0.175717
72000 0.0674862 0.0476852 0.0611537 0.176325
73000 0.062583 0.0494075 0.0599637 0.171954
74000 0.0689867 0.0497553 0.0653987 0.184141
75000 0.0641981 0.0512296 0.0530236 0.168451
76000 0.0649566 0.0505503 0.0560461 0.171553
77000 0.0675485 0.0505691 0.0597916 0.177909
78000 0.0662582 0.0509217 0.0586322 0.175812
79000 0.060965 0.0601871 0.0494819 0.170634
80000 0.064657 0.057086 0.0503885 0.172131
81000 0.0597345 0.0538822 0.0482699 0.161887
82000 0.0628801 0.0581939 0.0564981 0.177572
83000 0.0570041 0.0561879 0.0651923 0.178384
84000 0.063479 0.0595718 0.048125 0.171176
85000 0.0599479 0.0601405 0.0552781 0.175366
86000 0.0621145 0.0524747 0.059685 0.174274
87000 0.0662309 0.050394 0.0505771 0.167202
88000 0.0684563 0.0486734 0.0578612 0.174991
89000 0.0670151 0.0494218 0.0617614 0.178198
90000 0.06617 0.0495587 0.0520077 0.167736
91000 0.0652066 0.0482801 0.0535051 0.166992
92000 0.0683953 0.0532931 0.0481578 0.169846
93000 0.0675436 0.0503885 0.0487686 0.166701
94000 0.0662528 0.0498228 0.0557841 0.17186
95000 0.0728309 0.05151 0.0545772 0.178918
96000 0.0838622 0.0472813 0.0667859 0.197929
97000 0.0795902 0.050348 0.0664832 0.196421
98000 0.0662389 0.0482086 0.0534902 0.167938
99000 0.0636913 0.047345 0.0688729 0.179909
100000 0.0656184 0.0540648 0.0537306 0.173414
